id,dni,nombre,apellido,telefono,email,matricula,habilitado
590cac24-5d10-4b4a-a5ea-1912436c46e0,95910241,Milagros,Nieto,903-659-485,milagros.nieto@example.com,awful,True
e96183c0-c310-470a-9562-d993ad2479a8,93118634,Salvador,Bravo,919-422-912,salvador.bravo@example.com,toyota,True
f98ad28f-5416-45e4-bece-2a28f1d57587,17951566,Diego,Caballero,994-466-531,diego.caballero@example.com,lowrider,True
4567322e-f3b5-45b2-8279-c244f6360ef7,98212117,Alfonso,Ortiz,964-432-860,alfonso.ortiz@example.com,bigmac,True
900c3bda-c575-4ca3-a59d-ae0ee3fdbc41,84256785,matias,Suarez,930-944-443,1,JOUN,True
4bbc01a7-3c21-4df6-92ee-050c70b1f5bd,51089038,Rodrigo,DomÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â­nguez,958-280-683,rodrigo.dominguez@example.com,mango,True
b67ec306-b065-4255-ab83-6fdab197781d,36411012,Domingo,Parra,966-228-403,domingo.parra@example.com,sinister,True
8b678905-829f-4292-8c2c-d799143b676c,58114696,Benito,MarÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â­n,980-843-673,benito.marin@example.com,tzpvaw,True
d7cb3050-b780-40eb-ad26-f7f692d330ea,33050031,Santiago,Rubio,951-970-350,santiago.rubio@example.com,noodle,True
9e760990-acce-4c81-896a-390598f7e806,14449471,Juana,Arias,947-571-072,juana.arias@example.com,chanel,True
0046f9f2-0462-4b41-a0ca-e11074672105,42333173,Alejandra,Bravo,910-763-561,alejandra.bravo@example.com,ledzep,True
aef5f2f6-44e3-4363-b9ac-8bf622da56a9,71235930,Victoria,Romero,923-644-257,victoria.romero@example.com,bumble,True
1e947203-a332-4786-881b-f17f66a98525,58611684,Joan,Mora,994-309-738,joan.mora@example.com,8989,True
f97937d9-964b-11ee-8704-d85ed32d8ef7,123123123,1231231,w,w,w,w,True
e1bb43cd-9678-11ee-8255-d85ed32d8ef7,123123123,1231231,w,w,w,w,True
